All,ทั้งหมด,module,Magento_AdminGws
You need more permissions to view this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการดูรายการนี้,module,Magento_AdminGws
You need more permissions to set All Scopes to a Role.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการกำหนดบทบาททั้งหมด,module,Magento_AdminGws
You need more permissions to save this setting.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการบันทึกการตั้งค่า,module,Magento_AdminGws
You need more permissions to save this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการบันทึกรายการนี้,module,Magento_AdminGws
You need more permissions to delete this item(s): %1.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการลบรายการเหล่านี้: %1.,module,Magento_AdminGws
You need more permissions to delete this item.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการลบรายการนี้,module,Magento_AdminGws
You need more permissions to apply some of the rule updates.,คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการอัปเดตกฎ,module,Magento_AdminGws
"You need more permissions to access website ""%1"".","คุณต้องมีสิทธิ์เพิ่มเติมเพื่อใช้ในการเข้าถึงเว็บไซต์นี้ ""%1""",module,Magento_AdminGws
You can create orders only in an active store.,คุณสามารถสร้างคำสั่งซื้อได้เฉพาะในร้านที่ใช้งานอยู่เท่านั้น,module,Magento_AdminGws
Role Scopes,ขอบเขตหน้าที่,module,Magento_AdminGws
Please specify at least one website or one store group.,โปรดระบุเว็บไซต์หรือกลุ่มร้านค้าอย่างน้อยหนึ่งแห่ง,module,Magento_AdminGws
Please assign this item to a store view.,โปรดมอบหมายรายการนี้ในมุมมองร้านค้า,module,Magento_AdminGws
Please assign this entity to a store view.,โปรดกำหนดเอนทิตีต่อไปยังมุมมองร้านค้า,module,Magento_AdminGws
None,ไม่มี,module,Magento_AdminGws
Incorrect website ID: %1,หมายเลขเว็บไซต์ไม่ต้องเป็น: %1,module,Magento_AdminGws
Incorrect store ID: %1,รหัสร้านค้าไม่ต้องเป็น: %1,module,Magento_AdminGws
Custom,กำหนดเอง,module,Magento_AdminGws
Allowed Scopes,ขอบเขตที่อนุญาต,module,Magento_AdminGws
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,เว็บเซิร์ฟเวอร์ของคุณได้รับการตั้งค่าไม่ถูกต้องและอนุญาตให้เข้าถึงไฟล์สำคัญ ๆ โดยไม่ได้รับอนุญาต โปรดติดต่อผู้ให้บริการโฮสติ้งของคุณ,module,Magento_AdminNotification
You have %1 new system messages,คุณมี %1 ข้อความใหม่,module,Magento_AdminNotification
You have %1 new system message,คุณมี %1 ข้อความใหม่,module,Magento_AdminNotification
